ID,BILSECPR,BILPHPR,PANSECPR,PANPHPR,DOSE,BILSECPT,BILPHPT,PANSECPT,PANPHPT,HORMONE
32,0.00,0.00,0.50,8.90,8,0.00,0.00,6.00,9.00,5
38,0.00,0.00,0.00,0.00,8,11.50,0.00,0.00,0.00,5
36,9.00,0.00,0.00,0.00,12,17.50,8.30,0.00,0.00,5
36,12.50,0.00,0.00,0.00,8,16.50,0.00,0.00,0.00,5
37,12.50,0.00,2.30,8.90,12,24.50,8.70,3.80,8.80,5
37,12.00,0.00,2.90,8.00,8,10.50,8.70,2.30,8.60,5
37,40.00,8.40,7.90,8.40,12,32.50,8.20,2.00,9.00,5
37,75.00,7.50,0.00,0.00,24,47.50,7.70,1.30,9.30,5
37,67.50,7.00,0.00,0.00,12,17.50,8.30,0.00,0.00,5
50,0.00,0.00,0.00,0.00,12,6.80,0.00,0.00,0.00,5
34,9.30,0.00,0.00,0.00,12,10.00,8.70,3.30,9.00,5
34,0.00,0.00,9.40,9.00,12,0.30,0.00,1.20,9.10,5
34,2.40,0.00,0.00,0.00,24,0.00,0.00,0.90,8.90,5
49,10.60,0.00,0.00,0.00,12,29.00,8.60,0.00,0.00,5
45,12.50,0.00,3.60,7.90,12,13.50,8.80,16.30,8.00,5
45,32.50,8.60,0.00,0.00,24,24.00,8.70,0.00,0.00,5
45,40.00,8.30,0.00,0.00,24,65.00,8.40,0.00,0.00,5
45,20.00,0.00,0.00,0.00,8,45.00,8.40,0.00,0.00,5
45,10.60,0.00,0.00,0.00,8,35.00,8.50,3.20,8.80,5
46,15.00,0.00,0.00,0.00,12,52.50,8.60,0.00,0.00,5
46,0.00,0.00,0.00,0.00,24,0.90,0.00,0.00,0.00,5
48,25.00,8.50,0.00,0.00,8,30.00,8.60,0.00,0.00,5
47,30.00,8.40,0.00,0.00,8,32.50,8.60,0.50,0.00,5
47,0.00,0.00,0.00,0.00,8,1.30,0.00,0.00,0.00,5
47,1.50,0.00,0.00,0.00,12,0.00,0.00,0.00,0.00,5
47,0.00,0.00,0.00,0.00,8,0.00,0.00,1.70,7.80,5
52,1.20,0.00,1.40,9.20,12,1.60,0.00,0.40,9.30,5
53,16.50,0.00,0.00,0.00,12,40.80,8.50,0.00,0.00,5
62,12.50,0.00,0.10,8.90,12,8.50,0.00,2.40,8.70,5
62,0.00,0.00,0.50,8.60,12,0.00,0.00,1.60,8.90,5
65,14.00,0.00,1.50,8.70,24,11.30,8.60,2.50,8.80,5
65,10.50,0.00,3.10,8.80,12,15.00,8.40,0.20,8.40,5
63,0.00,0.00,0.60,8.30,24,12.00,8.20,0.80,8.60,5
63,9.20,0.00,1.80,8.00,12,32.00,8.20,10.00,8.60,5
63,0.00,0.00,3.30,8.80,12,0.00,0.00,3.30,8.90,5
64,10.10,0.00,0.00,0.00,24,33.80,8.10,1.30,0.00,5
68,12.00,0.00,0.60,8.80,4,27.80,8.60,0.40,9.00,5
68,0.00,0.00,0.60,8.00,4,0.50,0.00,0.90,8.00,5
69,15.00,0.00,4.80,8.90,2,17.50,8.40,5.00,8.40,5
70,15.00,0.00,5.30,7.80,0.5,7.50,0.00,2.50,7.90,5
70,20.00,0.00,0.00,0.00,0.5,17.50,8.10,0.40,8.80,5
71,0.00,0.00,0.00,0.00,4,1.80,0.00,1.00,8.60,5
72,4.50,0.00,4.30,8.00,2,12.50,8.10,4.60,8.20,5
72,10.00,0.00,5.20,8.00,4,10.00,0.00,5.00,8.20,5
72,10.00,0.00,5.70,8.00,0.5,12.50,8.70,6.30,8.00,5
72,10.00,0.00,3.90,8.10,4,11.30,0.00,3.20,8.90,5
72,10.00,0.00,2.40,8.90,0.5,13.80,7.80,0.80,9.30,5
